Epitopes,American Samoa,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Burkina Faso,Cameroon,Cape Verde,Central African Republic,Chile,China,Colombia,Croatia,Cuba,Czech Republic,Ecuador,England,Finland,France,Georgia,Germany,Guatemala,Guinea-Bissau,Hong Kong,India,Indonesia,Iran,Ireland Northern,Ireland South,Israel,Italy,Ivory Coast,Japan,Jordan,Kenya,South Korea,Macedonia,Malaysia,Mali,Martinique,Mexico,Mongolia,Morocco,New Caledonia,Oman,Pakistan,Papua New Guinea,Peru,Philippines,Poland,Portugal,Romania,Russia,Rwanda,Sao Tome and Principe,Saudi Arabia,Scotland,Senegal,Serbia,Singapore,South Africa,Spain,Sri Lanka,Sudan,Sweden,Taiwan,Thailand,Tunisia,Turkey,Uganda,United Arab Emirates,United States,Venezuela,Vietnam,Wales,Zambia,Zimbabwe
CSPep1,0,0,0.0119,0.0575,0.01,0.0817,0.017,0.1108,0.2149,0.1388,0,0.01,0.0486,0,0.0258,0.009,0.0376,0,0.0139,0.012,0.0455,0.0134,0.0248,0.014,0.2509,0.0356,0.0547,0.0259,0.0975,0.0217,0.008,0.0483,0,0,0.0021,0.2326,0.2667,0.0687,0.0239,0,0.3227,0,0.0179,0.0217,0.1061,0,0.008,0.0863,0,0,0,0.0345,0.0176,0.0396,0.0056,0.0591,0.2382,0.0513,0,0.1163,0,0.0345,0.1101,0,0,0.1359,0,0.0239,0.0441,0.1094,0,0.2514,0,0.1109,0.0231,0.012,0,0.3558,0.2724
CSPep2,0,0.0368,0.0636,0.28,0.1084,0.2418,0.2296,0.4616,0.423,0.5386,0.0595,0.1088,0.0943,0,0.345,0.3092,0.2816,0,0.169,0.3588,0.2289,0.2791,0.2309,0.0491,0.5457,0.0681,0.1661,0.1485,0.4734,0.1806,0.1604,0.2576,0.5054,0.5648,0.1521,0.2814,0.4954,0.1659,0.0239,0.2858,0.7611,0,0.323,0.0217,0.2876,0.0571,0.295,0.0863,0.0061,0.2061,0.1351,0.2635,0.2399,0.4142,0.1633,0.296,0.6038,0.1459,0,0.4171,0.3044,0.141,0.365,0.1433,0,0.2965,0.1252,0.0527,0.1459,0.3491,0,0.3779,0,0.3399,0.0249,0.0237,0,0.6727,0.5515
CSPep3,0,0.119,0.0695,0.2833,0.01,0.2208,0.4143,0.4352,0.3895,0.5952,0.0595,0.1088,0.156,0,0.3671,0.3387,0.2666,0,0.1726,0.3234,0.2561,0.3952,0.2445,0.0433,0.5155,0.1458,0.2168,0.0908,0.4875,0.1771,0.116,0.2031,0.4562,0.5648,0.2989,0.3277,0.4346,0.2995,0.0239,0.1285,0.776,0,0.3033,0.0217,0.2822,0.0571,0.4931,0.0863,0,0.2309,0,0.22,0.2872,0.4067,0.2076,0.19,0.6182,0.3502,0,0.4009,0.3775,0.1359,0.374,0.2234,0,0.3354,0.1453,0.1026,0.1258,0.3338,0,0.3455,0,0.3473,0.0229,0.0799,0,0.6677,0.4431
CSPep4,0,0,0,0,0,0.0214,0,0.0466,0.047,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,0,0,0,0,0,0,0,0,0.0068,0,0,0,0.0474,0.0608,0,0,0,0,0,0.0056,0,0,0,0.008,0,0,0,0,0,0.0056,0,0,0.0591,0.0799,0,0,0,0,0,0,0,0,0.0105,0,0,0,0.0329,0,0.0391,0,0.017,0.0136,0,0,0.0686,0.0572
CSPep5,0.2919,0.826,0.6164,0.9684,0.9195,0.8704,0.8881,0.7702,0.9274,0.9572,0.2702,0.7568,0.4556,0.1038,0.9127,0.9283,0.9516,0.2272,0.9572,0.9711,0.9214,0.8701,0.9553,0.0833,0.9559,0.407,0.6461,0.5023,0.8445,0.9588,0.9471,0.7609,0.9398,0.8235,0.6306,0.6925,0.9387,0.7201,0.0683,0.5034,0.9899,0.2256,0.7735,0.5973,0.9341,0.1784,0.9047,0.5961,0.0072,0.904,0.51,0.9296,0.8943,0.9074,0.7828,0.5504,0.9649,0.9364,0.2309,0.9587,0.4873,0.4347,0.9169,0.757,0.291,0.8939,0.9297,0.4093,0.4599,0.9103,0.4987,0.9212,0.0199,0.9056,0.6552,0.3625,0.01,0.9851,0.9724
CSPep6,0,0,0.0204,0.061,0.0416,0.0825,0.017,0,0.199,0.2552,0,0.0695,0.0483,0,0.0317,0.1049,0.0376,0,0.0336,0.0238,0.0688,0.0335,0.0361,0.0278,0.1201,0.0415,0.0547,0.021,0.0975,0.0451,0.0278,0.0566,0.0463,0,0.0021,0.1774,0.2086,0.0687,0.0474,0,0.3194,0,0.0347,0.0217,0.2002,0,0.0822,0.109,0,0,0,0.0398,0.0457,0.0396,0.0056,0,0.1185,0.0784,0,0.2975,0,0.0269,0.2419,0,0,0.1661,0.0078,0.0225,0.0219,0.1606,0,0.1974,0,0.1134,0,0.006,0,0.6055,0.4194
CSPep7,0.2431,0.4826,0.3137,0.6721,0.4686,0.4189,0.508,0.3519,0.3395,0.5004,0.03,0.3134,0.1809,0.0822,0.5241,0.4631,0.553,0.1209,0.5348,0.6639,0.4761,0.4723,0.5629,0,0.5097,0.1479,0.139,0.1387,0.4938,0.5369,0.4801,0.3032,0.5256,0.1734,0.3197,0.259,0.4752,0.3753,0,0.3386,0.6051,0,0.5631,0.2757,0.4473,0.0706,0.5118,0.1648,0.0053,0.8015,0.51,0.5462,0.489,0.5464,0.3543,0.0918,0.5111,0.3926,0.0278,0.3779,0.1683,0.1625,0.3759,0.5274,0.0956,0.4042,0.4856,0.195,0.0706,0.4167,0.448,0.4232,0,0.5519,0.6089,0.0472,0,0.5317,0.4457
CSPep8,0,0.0106,0.0411,0.0195,0.0317,0.0832,0.0319,0.1049,0.2208,0.2355,0.0548,0.0678,0.0725,0,0.0317,0.1604,0.0278,0,0.0296,0.012,0.0789,0.0432,0.0277,0.0277,0.1989,0.1454,0.091,0.1111,0.1293,0.0313,0.0277,0.0564,0.1343,0.0454,0.0093,0.0278,0.2465,0.1186,0.0413,0.1222,0.1274,0,0.033,0,0.1628,0,0.2028,0.0238,0,0,0,0.018,0.0609,0.0258,0.0782,0,0.0985,0.1199,0,0.357,0.0199,0.1217,0.1991,0.0113,0,0.1251,0.0078,0.1697,0.1293,0.1527,0,0.2016,0,0.1011,0,0.1254,0.01,0.4374,0.3447
CSPep9,0.2431,0.4628,0.299,0.6358,0.4758,0.3963,0.5018,0.3529,0.2438,0.3117,0,0.2956,0.1562,0.0887,0.4671,0.4165,0.5267,0.1209,0.5175,0.5692,0.4472,0.4101,0.5131,0,0.3662,0.12,0.0836,0.135,0.4022,0.5002,0.4465,0.2973,0.4348,0.1105,0.1993,0.2545,0.4569,0.3025,0,0.3044,0.3363,0,0.4374,0.3288,0.4053,0.0706,0.4435,0.1766,0.0053,0.75,0.51,0.5034,0.4528,0.4401,0.304,0,0.5294,0.4618,0.0278,0.2541,0,0.1317,0.3664,0.5173,0.0956,0.4866,0.4244,0.1711,0.0402,0.3882,0.4987,0.4219,0.0159,0.4822,0.6043,0.0415,0,0.3798,0.4895
CSPep10,0.2431,0.5547,0.3986,0.7683,0.6705,0.4678,0.622,0.2389,0.209,0.3775,0,0.3874,0.1828,0.0822,0.5904,0.4911,0.6578,0.1209,0.7529,0.678,0.6285,0.4649,0.6973,0,0.3823,0.1405,0.1813,0.1777,0.4071,0.7303,0.752,0.4011,0.5944,0,0.2069,0.3806,0.4711,0.3322,0,0.3044,0.2809,0,0.4695,0.4556,0.5717,0.0706,0.517,0.2941,0.0053,0.755,0.51,0.6709,0.5386,0.6056,0.4047,0,0.4729,0.5362,0.0278,0.2324,0,0.165,0.311,0.4946,0.291,0.4425,0.5469,0.1788,0.0899,0.4975,0.448,0.4608,0,0.5583,0.613,0.1144,0,0.3749,0.3488
